Age,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,Gender_Female,Gender_Male,Type of Travel_Business travel,Type of Travel_Personal Travel,Class_Business,Class_Eco,Class_Eco Plus,satisfaction
22,3182,3,4,4,4,3,3,3,3,1,2,4,1,4,3,41,34,4,1,1,4,1,4,4,neutral or dissatisfied
17,344,3,4,3,5,1,3,3,1,4,4,5,5,4,1,4,4,4,1,4,1,4,1,4,neutral or dissatisfied
22,551,3,5,3,1,4,3,4,4,3,2,5,3,5,4,4,4,4,1,1,4,4,1,4,neutral or dissatisfied
23,594,2,2,3,3,2,3,3,2,4,1,4,2,4,2,4,7,4,1,1,4,4,1,4,neutral or dissatisfied
29,1514,2,2,2,2,4,4,4,4,5,5,4,5,4,4,9,24,4,1,1,4,1,4,4,satisfied
54,3911,3,3,3,3,2,5,5,4,4,4,4,4,4,4,4,4,4,1,1,4,1,4,4,satisfied
24,488,1,4,1,4,4,1,4,4,4,5,5,1,2,4,146,94,4,1,1,4,4,1,4,neutral or dissatisfied
25,644,3,5,3,3,1,3,1,1,1,5,5,5,2,1,4,4,1,4,1,4,4,1,4,neutral or dissatisfied
34,1237,4,4,4,4,5,5,5,5,2,5,3,3,2,5,4,4,4,1,1,4,1,4,4,satisfied
46,432,2,3,2,3,1,3,4,2,2,2,2,1,2,4,4,13,1,4,1,4,4,1,4,neutral or dissatisfied
43,1722,1,1,1,1,3,5,4,4,4,4,4,4,4,4,1,2,4,1,1,4,1,4,4,satisfied
24,1469,3,3,3,3,4,4,4,4,4,5,3,2,5,4,14,15,1,4,1,4,1,4,4,satisfied
44,2475,2,2,2,2,2,2,2,5,2,5,5,2,5,2,4,12,1,4,1,4,1,4,4,satisfied
66,919,4,4,4,1,3,5,4,1,1,4,1,4,1,3,74,61,4,1,4,1,1,4,4,neutral or dissatisfied
14,1448,2,1,2,4,5,2,4,5,1,3,3,4,4,5,4,4,4,1,4,1,4,1,4,neutral or dissatisfied
34,449,3,5,3,2,1,3,1,1,5,5,5,4,4,1,4,4,4,1,4,1,4,1,4,neutral or dissatisfied
48,1994,3,5,3,3,5,3,5,2,2,2,2,3,2,3,26,12,4,1,1,4,1,4,4,satisfied
34,2644,3,3,3,3,3,3,3,3,5,2,4,3,1,3,4,14,4,1,1,4,1,4,4,neutral or dissatisfied
27,1431,2,2,2,3,2,2,2,2,2,2,3,1,3,2,18,11,4,1,1,4,4,1,4,neutral or dissatisfied
67,2585,2,4,2,2,2,4,2,4,2,3,5,2,5,2,83,86,1,4,4,1,4,1,4,neutral or dissatisfied
11,986,1,4,1,4,4,1,2,4,1,5,3,3,4,4,4,9,4,1,1,4,1,4,4,neutral or dissatisfied
22,441,5,3,5,3,5,5,5,5,5,5,5,5,4,5,1,4,4,1,1,4,1,4,4,satisfied
72,1562,4,3,2,3,4,4,4,4,3,2,4,1,4,4,4,4,4,1,1,4,4,1,4,neutral or dissatisfied
24,294,3,4,3,4,3,3,5,3,5,4,4,5,4,3,4,4,4,1,1,4,4,1,4,neutral or dissatisfied
11,547,4,4,2,4,5,5,5,5,5,5,5,3,4,5,4,4,1,4,1,4,1,4,4,satisfied
45,675,1,4,4,4,2,1,5,2,2,5,3,2,4,2,84,74,4,1,1,4,4,4,1,neutral or dissatisfied
74,249,2,2,2,3,5,3,4,2,2,2,2,3,2,1,4,4,1,4,4,1,4,1,4,neutral or dissatisfied
26,1237,4,4,4,5,4,4,4,4,2,5,2,5,4,4,36,44,1,4,1,4,4,1,4,satisfied
48,2791,1,1,1,1,2,4,4,4,4,4,4,5,4,4,4,7,1,4,1,4,1,4,4,satisfied
74,354,2,4,2,3,3,4,4,4,4,2,5,5,4,5,16,22,4,1,4,1,1,4,4,neutral or dissatisfied
41,2174,3,3,3,3,1,3,1,1,4,1,4,1,4,1,4,4,1,4,4,1,4,1,4,neutral or dissatisfied
45,3594,1,3,2,2,1,3,4,1,1,1,1,1,1,2,4,7,1,4,1,4,1,4,4,neutral or dissatisfied
74,1751,3,2,3,1,5,1,1,3,3,3,1,2,3,4,4,15,1,4,4,1,4,1,4,neutral or dissatisfied
37,2249,5,5,5,5,4,4,5,4,4,4,4,4,4,5,4,4,4,1,1,4,1,4,4,satisfied
63,1596,2,4,5,4,3,4,4,2,2,2,2,3,2,2,4,4,1,4,1,4,1,4,4,neutral or dissatisfied
25,259,2,4,2,4,4,2,2,4,2,1,2,4,3,4,4,4,4,1,1,4,4,1,4,neutral or dissatisfied
48,2564,3,3,4,3,5,4,5,4,4,4,4,4,4,4,4,4,1,4,1,4,1,4,4,satisfied
43,599,4,4,4,4,3,4,5,4,4,4,4,3,4,3,4,4,1,4,1,4,1,4,4,satisfied
65,274,4,4,4,1,1,5,5,5,5,4,5,3,5,1,4,4,1,4,4,1,4,1,4,neutral or dissatisfied
36,2354,4,4,4,4,5,1,5,5,5,5,5,4,5,4,7,14,4,1,1,4,1,4,4,satisfied
34,3189,3,3,3,3,5,5,5,5,3,2,4,5,4,5,4,4,4,1,1,4,1,4,4,satisfied
18,1648,5,5,5,5,4,4,4,4,2,3,3,4,2,4,4,4,1,4,1,4,1,4,4,satisfied
19,1542,5,5,5,1,1,5,2,1,5,3,4,3,3,1,4,4,1,4,1,4,4,1,4,satisfied
47,67,5,5,5,5,3,1,1,4,4,4,5,1,4,2,4,4,4,1,1,4,1,4,4,satisfied
28,247,2,2,2,3,5,2,5,5,3,4,5,5,4,5,25,17,4,1,1,4,1,4,4,neutral or dissatisfied
55,273,4,3,4,4,2,4,2,2,1,3,3,2,3,2,4,4,4,1,4,1,4,1,4,neutral or dissatisfied
64,3387,1,1,2,1,4,4,5,4,4,4,4,4,4,5,23,19,1,4,1,4,1,4,4,satisfied
36,599,4,1,1,1,4,4,4,4,3,3,5,1,4,4,16,3,1,4,1,4,4,4,1,satisfied
51,692,2,4,4,4,2,2,2,2,2,5,3,4,3,2,4,4,4,1,1,4,4,4,1,neutral or dissatisfied
11,862,1,4,2,3,2,2,3,2,4,4,4,4,4,2,1,21,1,4,4,1,4,1,4,neutral or dissatisfied
67,452,3,4,3,2,5,4,4,1,1,3,1,5,1,4,14,4,1,4,4,1,4,1,4,neutral or dissatisfied
57,451,1,2,2,2,1,1,1,1,4,5,4,3,4,1,4,8,4,1,1,4,4,1,4,neutral or dissatisfied
34,1846,4,4,4,4,5,5,5,5,3,4,4,5,5,5,4,4,1,4,1,4,1,4,4,satisfied
62,399,3,1,1,1,5,1,1,3,3,3,3,2,3,4,63,51,1,4,1,4,4,1,4,neutral or dissatisfied
44,591,3,3,3,3,5,4,1,5,5,5,5,2,5,2,4,4,1,4,1,4,1,4,4,satisfied
56,857,3,4,4,4,2,3,2,4,4,3,4,1,4,1,4,4,1,4,1,4,4,1,4,neutral or dissatisfied
39,1661,3,3,5,3,5,5,4,4,4,5,4,3,4,4,4,4,1,4,1,4,1,4,4,satisfied
74,141,2,5,2,5,3,5,3,3,3,2,3,1,3,2,4,4,1,4,4,1,4,1,4,neutral or dissatisfied
58,2186,3,3,5,3,3,4,5,3,3,3,3,5,3,4,4,4,1,4,1,4,1,4,4,satisfied
47,3755,5,5,5,5,5,5,5,3,3,3,3,3,3,4,5,5,1,4,1,4,1,4,4,satisfied
52,731,2,1,2,2,1,2,4,1,1,4,2,4,3,1,6,24,4,1,4,1,4,4,1,neutral or dissatisfied
56,118,5,5,5,5,1,1,4,4,4,4,4,1,4,3,4,4,1,4,1,4,1,4,4,satisfied
36,325,3,4,4,3,4,4,5,4,2,1,3,2,4,4,8,4,1,4,1,4,4,4,1,neutral or dissatisfied
53,689,2,4,2,3,5,3,3,5,5,2,3,3,5,3,4,4,4,1,4,1,1,4,4,neutral or dissatisfied
58,319,3,3,3,3,1,3,5,1,2,3,5,1,4,1,4,4,4,1,4,1,4,1,4,neutral or dissatisfied
49,644,3,3,3,3,3,5,5,5,5,5,5,3,5,5,26,12,1,4,1,4,1,4,4,satisfied
36,1521,3,4,2,4,3,3,3,3,3,3,3,4,3,4,2,22,1,4,1,4,1,4,4,neutral or dissatisfied
56,144,4,1,1,1,2,3,3,2,2,2,4,3,2,4,15,21,4,1,1,4,1,4,4,neutral or dissatisfied
26,175,2,4,2,3,2,2,2,2,1,5,5,3,4,2,39,35,4,1,1,4,4,1,4,neutral or dissatisfied
46,647,3,3,3,4,2,4,3,3,3,3,3,2,3,4,4,1,1,4,4,1,4,1,4,neutral or dissatisfied
48,1145,3,4,3,4,3,2,1,3,3,3,4,3,3,5,13,4,1,4,4,1,1,4,4,neutral or dissatisfied
51,82,3,3,3,3,3,3,3,3,3,4,3,1,3,3,4,4,4,1,1,4,4,1,4,neutral or dissatisfied
27,1442,3,3,3,4,5,3,5,5,2,5,4,3,5,5,26,13,1,4,1,4,4,1,4,neutral or dissatisfied
8,731,5,4,5,2,1,5,1,1,2,1,2,3,4,1,4,4,4,1,4,1,4,1,4,satisfied
35,669,2,5,2,4,2,2,2,2,5,2,5,5,4,2,2,4,1,4,4,1,4,1,4,neutral or dissatisfied
31,1616,3,4,3,3,2,3,1,2,3,5,4,4,5,2,4,4,4,1,4,1,4,1,4,neutral or dissatisfied
47,496,4,5,2,1,2,5,5,3,3,2,3,5,3,5,4,4,4,1,4,1,1,4,4,neutral or dissatisfied
51,594,2,2,2,1,1,1,2,2,2,2,2,3,2,4,4,4,1,4,4,1,4,1,4,neutral or dissatisfied
44,119,5,3,4,3,5,5,5,5,1,4,2,4,1,5,4,4,1,4,1,4,4,1,4,satisfied
37,332,4,4,4,5,3,3,3,3,3,3,3,3,3,1,4,4,1,4,1,4,1,4,4,satisfied
46,391,3,3,3,3,2,4,5,5,5,5,5,4,5,3,2,4,4,1,1,4,1,4,4,satisfied
35,895,4,5,4,1,3,4,3,3,3,3,2,4,3,3,4,4,4,1,4,1,4,1,4,neutral or dissatisfied
41,2562,2,2,2,2,5,5,4,4,4,4,4,4,4,3,6,4,4,1,1,4,1,4,4,satisfied
58,1192,1,4,1,4,3,1,4,3,4,4,4,5,4,3,2,4,4,1,4,1,4,1,4,neutral or dissatisfied
25,416,2,2,1,3,5,1,5,5,2,3,4,4,3,5,39,41,4,1,1,4,4,1,4,neutral or dissatisfied
35,1477,1,1,1,5,1,2,2,3,1,3,2,2,4,2,4,4,4,1,1,4,4,1,4,neutral or dissatisfied
38,2632,3,3,3,3,5,4,4,5,5,5,5,5,5,3,116,87,4,1,1,4,1,4,4,satisfied
43,2615,2,2,3,2,4,4,4,5,3,3,4,4,4,4,4,4,1,4,1,4,1,4,4,satisfied
39,3491,4,4,4,4,3,3,3,3,3,4,3,5,3,4,4,4,1,4,1,4,1,4,4,satisfied
45,2425,4,4,2,4,4,5,5,5,5,5,5,3,5,4,4,4,4,1,1,4,1,4,4,satisfied
47,3766,3,2,2,2,1,4,3,4,4,4,3,3,4,3,4,4,1,4,1,4,1,4,4,neutral or dissatisfied
44,315,4,5,3,5,4,4,4,4,2,1,2,1,2,4,1,4,4,1,1,4,4,1,4,neutral or dissatisfied
44,152,4,3,3,1,5,4,5,5,5,5,5,5,5,5,4,4,4,1,1,4,1,4,4,satisfied
52,1766,4,5,4,4,4,5,5,4,4,4,4,5,4,3,4,4,4,1,1,4,1,4,4,satisfied
38,344,1,5,1,4,1,1,1,1,3,5,5,5,4,1,4,4,4,1,4,1,4,1,4,neutral or dissatisfied
38,196,4,4,4,4,2,5,5,4,4,4,5,4,4,3,4,4,4,1,1,4,1,4,4,satisfied
24,1829,2,1,1,1,2,2,2,2,1,3,3,1,3,2,25,23,4,1,1,4,1,4,4,neutral or dissatisfied
47,377,4,4,4,4,4,4,5,5,5,5,5,4,5,5,4,4,4,1,1,4,1,4,4,satisfied
35,731,5,3,5,5,2,5,5,4,4,4,4,3,4,4,2,1,4,1,1,4,1,4,4,satisfied
21,641,3,2,4,3,5,4,5,5,4,1,2,2,3,5,5,18,1,4,4,1,4,1,4,neutral or dissatisfied
44,2967,3,3,3,3,5,5,5,3,3,3,3,4,3,5,4,4,4,1,1,4,1,4,4,satisfied
37,3424,4,4,4,4,5,5,4,5,5,5,5,3,5,3,4,4,4,1,1,4,1,4,4,satisfied
24,447,1,4,1,4,2,1,2,2,4,1,4,1,3,2,4,4,1,4,1,4,4,1,4,neutral or dissatisfied
64,244,5,5,5,5,3,4,1,4,4,4,4,4,4,4,4,4,1,4,1,4,1,4,4,satisfied
63,678,4,2,4,4,3,4,3,2,2,4,2,2,2,4,15,25,1,4,4,1,4,1,4,neutral or dissatisfied
34,234,2,4,4,4,2,4,2,2,1,2,4,4,4,2,4,4,4,1,4,1,4,1,4,neutral or dissatisfied
48,422,5,5,5,5,1,1,4,5,5,5,5,4,5,1,4,4,4,1,1,4,1,4,4,satisfied
57,1119,2,1,2,4,2,2,2,2,3,3,3,2,3,2,17,5,4,1,4,1,4,1,4,neutral or dissatisfied
44,641,5,4,4,3,1,4,1,1,5,4,5,4,5,1,4,4,4,1,1,4,1,4,4,satisfied
41,1416,2,2,2,2,5,4,4,4,4,4,4,3,4,4,4,4,4,1,1,4,1,4,4,satisfied
29,546,4,3,3,3,4,4,4,4,3,4,4,4,4,4,58,64,1,4,1,4,4,4,1,neutral or dissatisfied
17,528,1,5,1,1,5,1,5,5,5,4,5,4,4,5,4,4,4,1,4,1,4,1,4,neutral or dissatisfied
34,223,2,4,2,2,5,2,5,5,5,2,4,3,5,5,27,16,4,1,4,1,4,1,4,neutral or dissatisfied
51,268,3,4,4,4,3,3,3,3,4,4,2,4,1,3,51,55,4,1,1,4,4,1,4,neutral or dissatisfied
